Latitude,Longitude,Pays
-0.0739082,36.5987259,Kenya
-0.1579605,39.570981,Kenya
-0.1728069,29.9512163,Uganda
-0.272622,100.3600895,Indonesia
-0.2768407,110.1047823,Indonesia
-0.318807,100.4486543,Indonesia
-0.3655796,36.9171089,Kenya
-0.4292527,100.3839898,Indonesia
-0.4989624,117.2489929,Indonesia
-0.5960364,114.5148647,Indonesia
-0.7228737,119.9941336,Indonesia
-0.7452067,-47.9175815,Brazil
-0.7455553,35.0024481,Kenya
-0.7610578,35.0820393,Kenya
-0.7849025,36.2531501,Kenya
-0.7955444,36.9304079,Kenya
-0.9013406,122.9549168,Indonesia
-0.9311621,-47.401149,Brazil
-0.9589046,-62.937968,Brazil
-1.0614369,-60.4707,Brazil
-1.0984073,-48.0913639,Brazil
-1.1046044,34.4698036,Kenya
-1.1257853,115.1089599,Indonesia
-1.1322125,-46.6191948,Brazil
-1.1707262,100.6126871,Indonesia
-1.1711291,38.1562364,Kenya
-1.2436266,-79.7763714,Ecuador
-1.2615616,-48.4551807,Brazil
-1.2642076,103.1475314,Indonesia
-1.2897053,100.5307343,Indonesia
-1.4734321,101.0374712,Indonesia
-1.5250303,36.8940312,Kenya
-1.5490342,101.9872824,Indonesia
-1.5515089,103.8697387,Indonesia
-1.5602171,113.9219409,Indonesia
-1.5681883,102.7565673,Indonesia
-1.5684471,34.9139453,Tanzania
-1.5927809,123.5034467,Indonesia
-1.5949238,110.8393193,Indonesia
-1.6426695,121.9443798,Indonesia
-1.6457167,-48.2466237,Brazil
-1.6613098,-47.9454678,Brazil
-1.730202,103.6109153,Indonesia
-1.7315769,105.8594003,Indonesia
-1.7364443,119.3618511,Indonesia
-1.7904787,-79.6665527,Ecuador
-1.8279381,105.8441823,Indonesia
-1.8550617,36.3164824,Kenya
-1.8926783,106.0646131,Indonesia
-1.938438,105.1863932,Indonesia
-1.9459205,30.091297,Rwanda
-1.9821807,105.2716854,Indonesia
-10.0274752,-37.5615131,Brazil
-10.0544665,-55.5608533,Brazil
-10.0700455,124.3421104,Indonesia
-10.0962737,-67.4284159,Brazil
-10.143092,-67.7314367,Brazil
-10.1617505,-36.5544661,Brazil
-10.1829039,-48.1746103,Brazil
-10.223166,-44.6351465,Brazil
-10.2556344,-49.0479469,Brazil
-10.3619508,-48.664914,Brazil
-10.421672,-48.9188361,Brazil
-10.4256719,-48.8981835,Brazil
-10.4407321,-39.3340462,Brazil
-10.4427353,-49.1801728,Brazil
-10.4609267,-58.5842391,Brazil
-10.4654376,-40.9697372,Brazil
-10.4752773,-49.605392,Brazil
-10.4752909,105.6796319,Indian Ocean Ter.
-10.5106509,105.6738237,Indian Ocean Ter.
-10.5140133,-75.072796,Peru
-10.5164622,-65.3279004,Brazil
-10.5548959,-37.6293651,Brazil
-10.5563988,-49.4264257,Brazil
-10.5747005,-75.4070056,Peru
-10.6008987,-36.9752611,Brazil
-10.6344709,-47.6157267,Brazil
-10.6845077,-68.2228071,Brazil
-10.7165726,-38.1732299,Brazil
-10.7438624,-37.0782197,Brazil
-10.7448602,-45.160858,Brazil
-10.7652357,-39.2108622,Brazil
-10.7672186,-48.3795579,Brazil
-10.8143465,-55.2298991,Brazil
-10.8189302,-42.7131142,Brazil
-10.8357955,-37.2695383,Brazil
-10.9153988,-62.5604095,Brazil
-10.9188238,-68.492568,Brazil
-10.9193925,-51.6288269,Brazil
-10.9525944,-75.2250912,Peru
-11.030052,-48.690535,Brazil
-11.0851082,-51.7049726,Brazil
-11.0861857,-48.0973989,Brazil
-11.1670214,-48.556139,Brazil
-11.4282986,-61.4328412,Brazil
-11.5727969,-41.1815937,Brazil
-11.6307757,-50.8047077,Brazil
-11.6968985,-54.4754076,Brazil
-11.7265071,-61.4748667,Brazil
-11.7537602,-40.7158282,Brazil
-11.7724503,-37.8077155,Brazil
-11.7856432,-37.6174611,Brazil
-11.8176438,-46.6251118,Brazil
-11.8713158,-48.8676596,Brazil
-11.8848833,-55.4962825,Brazil
-11.916498,-42.6806711,Brazil
-11.9736799,-59.4237344,Brazil
-12.1642972,-51.6984442,Brazil
-12.1976557,-46.9842878,Brazil
-12.2323757,-55.106695,Brazil
-12.4243788,130.8426569,Australia
-12.4666636,-40.5610983,Brazil
-12.4744761,-41.0457965,Brazil
-12.5065815,-76.738071,Peru
-12.549087,-39.5293528,Brazil
-12.5884151,-76.3336128,Peru
-12.6722492,-42.2105786,Brazil
-12.7228963,-41.2680723,Brazil
-12.7801262,-60.3370942,Brazil
-12.7917565,-47.0540368,Brazil
-12.8028426,-55.8324507,Brazil
-12.8408964,-54.2233764,Brazil
-12.8867533,-38.3607893,Brazil
-12.9427591,-38.4777059,Brazil
-12.9730432,-39.2634429,Brazil
-12.9795558,-39.2852404,Brazil
-13.0661249,-75.0593478,Peru
-13.0878432,-75.0576408,Peru
-13.1126239,-38.9067763,Brazil
-13.1579244,131.1059929,Australia
-13.2511487,-72.2819529,Peru
-13.3701529,142.8799907,Australia
-13.4931219,-172.7781253,Samoa
-13.5398383,-47.4916841,Brazil
-13.5918724,-70.9459063,Peru
-13.6097176,-39.1032097,Brazil
-13.6248831,-49.2258526,Brazil
-13.6432007,-40.4373372,Brazil
-13.6651849,-57.8780084,Brazil
-13.6714368,132.0094306,Australia
-13.7222202,-75.4601247,Peru
-13.8166056,-56.0770031,Brazil
-13.8443546,-52.0466848,Brazil
-13.8576898,-172.0611335,Samoa
-13.894651,-171.6123059,Samoa
-14.1385808,-39.7350956,Brazil
-14.1473188,-39.3301753,Brazil
-14.2890202,-43.6386102,Brazil
-14.504978,-43.0313055,Brazil
-14.5461945,-42.0600185,Brazil
-14.606967,-73.6115742,Peru
-14.6347378,-39.5582933,Brazil
-14.7072115,-75.1028786,Peru
-14.7321173,132.037342,Australia
-14.8686594,-47.4344536,Brazil
-14.872537,-55.791153,Brazil
-14.9145163,-46.958372,Brazil
-14.9604446,-39.3086435,Brazil
-14.9745845,-49.0816316,Brazil
-14.9978254,-54.7663573,Brazil
-15.0089118,-40.785671,Brazil
-15.0518882,-71.1291516,Peru
-15.0667291,-57.173129,Brazil
-15.0989459,143.753861,Australia
-15.1539362,-48.3294844,Brazil
-15.1694138,-75.0313072,Peru
-15.1924372,-47.6689088,Brazil
-15.2017281,-56.3616232,Brazil
-15.224906,-46.4179947,Brazil
-15.2401957,-55.5467892,Brazil
-15.2637726,-40.961764,Brazil
-15.3271043,-49.1082874,Brazil
-15.3438433,-56.1849771,Brazil
-15.356637,-69.503269,Peru
-15.3728319,-75.1542936,Peru
-15.4530406,-44.3363259,Brazil
-15.4546372,-48.8860547,Brazil
-15.4733878,-55.7274976,Brazil
-15.4742396,-56.3036308,Brazil
-15.5039288,-40.8298927,Brazil
-15.528651,-47.6876625,Brazil
-15.5534579,-41.2610449,Brazil
-15.5550403,-47.156369,Brazil
-15.5829422,-55.099503,Brazil
-15.5927205,-47.8743303,Brazil
-15.6669399,-48.120077,Brazil
-15.6747843,-56.3356745,Brazil
-15.6810402,-39.7248612,Brazil
-15.6899766,-70.5297242,Peru
-15.7572066,-41.9174169,Brazil
-15.7637004,-56.3448915,Brazil
-15.7989694,-71.3773657,Peru
-15.837099,-41.4033203,Brazil
-15.8468232,-48.7633863,Brazil
-15.850488,-39.3930512,Brazil
-15.8516005,-56.0800177,Brazil
-15.8550749,-48.6013752,Brazil
-15.8584979,-38.8816386,Brazil
-15.8626269,-48.1685317,Brazil
-15.8764796,-73.4505391,Peru
-15.8840772,-71.3863277,Peru
-15.9256852,-49.2694035,Brazil
-15.9425713,-57.7850631,Brazil
-15.9949092,-56.4755029,Brazil
-15.9973985,142.4800908,Australia
-16.0565749,129.1687881,Australia
-16.0589562,129.0906325,Australia
-16.066532,-45.8807865,Brazil
-16.1024429,-49.0302846,Brazil
-16.1237263,-48.1817906,Brazil
-16.1285203,-43.9215961,Brazil
-16.1768202,-68.9829333,Bolivia
