Country,Surface
Afghanistan,652864
Albania,28748
Algeria,2381741
American Samoa,199
Andorra,468
Angola,1246700
Anguilla,91
Antigua and Barbuda,442
Argentina,2780400
Armenia,29743
Aruba,180
Australia,7692060
Austria,83871
Azerbaijan,86600
Bahamas,13940
Bahrain,771
Bangladesh,147570
Barbados,431
Belarus,207600
Belgium,30528
Belize,22966
Benin,114763
Bermuda,53
Bhutan,38394
Bolivia (Plurinational State of),1098581
"Bonaire, Sint Eustatius and Saba",-99
Bosnia and Herzegovina,51209
Botswana,582000
Brazil,8515767
British Virgin Islands,151
Brunei Darussalam,5765
Bulgaria,111002
Burkina Faso,272967
Burundi,27830
Cabo Verde,4033
Cambodia,181035
Cameroon,475650
Canada,9984670
Cayman Islands,264
Central African Republic,622984
Chad,1284000
Channel Islands,180
Chile,756102
"China, Hong Kong SAR",1106
"China, Macao SAR",30
China,9600000
Colombia,1141748
Comoros,2235
Congo,342000
Cook Islands,236
Costa Rica,51100
Croatia,56594
Cuba,109884
Cyprus,9251
Czechia,78868
Democratic People's Republic of Korea,120538
Democratic Republic of the Congo,2344858
Denmark,42921
Djibouti,23200
Dominica,750
Dominican Republic,48671
Ecuador,257217
Egypt,1002000
El Salvador,21041
Equatorial Guinea,28052
Eritrea,117600
Estonia,45227
Ethiopia,1104300
Falkland Islands (Malvinas),12173
Faroe Islands,1393
Fiji,18272
Finland,338440
France,551500
French Guiana,83534
French Polynesia,4000
Gabon,267668
Gambia,11295
Georgia,69700
Germany,357376
Ghana,238537
Gibraltar,6
Greece,131957
Greenland,2166086
Grenada,345
Guadeloupe,1705
Guam,549
Guatemala,108889
Guinea-Bissau,36125
Guinea,245857
Guyana,214969
Haiti,27750
Holy See,~0
Honduras,112492
Hungary,93024
Iceland,103000
India,3287263
Indonesia,1910931
Iran (Islamic Republic of),1628750
Iraq,435052
Ireland,69797
Isle of Man,572
Israel,22072
Italy,302073
Jamaica,10990
Japan,377930
Jordan,89318
Kazakhstan,2724902
Kenya,591958
Kiribati,726
Kuwait,17818
Kyrgyzstan,199949
Lao People's Democratic Republic,236800
Latvia,64573
Lebanon,10452
Lesotho,30355
Liberia,111369
Libya,1676198
Liechtenstein,160
Lithuania,65286
Luxembourg,2586
Madagascar,587295
Malawi,118484
Malaysia,330323
Maldives,300
Mali,1240192
Malta,315
Marshall Islands,181
Martinique,1128
Mauritania,1030700
Mauritius,1969
Mayotte,-99
Mexico,1964375
Micronesia (Federated States of),702
Monaco,2
Mongolia,1564116
Montenegro,13812
Montserrat,103
Morocco,446550
Mozambique,799380
Myanmar,676577
Namibia,824116
Nauru,21
Nepal,147181
Netherlands,41542
New Caledonia,18575
New Zealand,268107
Nicaragua,130373
Niger,1267000
Nigeria,923768
Niue,260
Northern Mariana Islands,457
Norway,386194
Oman,309500
Pakistan,796095
Palau,459
Panama,75320
Papua New Guinea,462840
Paraguay,406752
Peru,1285216
Philippines,300000
Poland,312679
Portugal,92226
Puerto Rico,8868
Qatar,11607
Republic of Korea,100284
Republic of Moldova,33846
Romania,238391
Russian Federation,17098246
Rwanda,26338
Saint Helena,308
Saint Kitts and Nevis,261
Saint Lucia,539
Saint Pierre and Miquelon,242
Saint Vincent and the Grenadines,389
Samoa,2842
San Marino,61
Sao Tome and Principe,964
Saudi Arabia,2206714
Senegal,196712
Serbia,88499
Seychelles,457
Sierra Leone,72300
Singapore,719
Sint Maarten (Dutch part),34
Slovakia,49035
Slovenia,20273
Solomon Islands,28896
Somalia,637657
South Africa,1221037
South Sudan,658841
Spain,505944
Sri Lanka,65610
State of Palestine,6020
Sudan,-99
Suriname,163820
Swaziland,17363
Sweden,438574
Switzerland,41291
Syrian Arab Republic,185180
Tajikistan,142600
Thailand,513120
The former Yugoslav Republic of Macedonia,25713
Timor-Leste,14919
Togo,56785
Tokelau,12
Tonga,747
Trinidad and Tobago,5127
Tunisia,163610
Turkey,783562
Turkmenistan,488100
Turks and Caicos Islands,948
Tuvalu,26
Uganda,241550
Ukraine,603500
United Arab Emirates,83600
United Kingdom,242495
United Republic of Tanzania,947303
United States of America,9833517
United States Virgin Islands,347
Uruguay,173626
Uzbekistan,448969
Vanuatu,12189
Venezuela (Bolivarian Republic of),912050
Viet Nam,330967
Wallis and Futuna Islands,142
Western Sahara,266000
Yemen,527968
Zambia,752612
Zimbabwe,390757
