Latitude,Longitude,Pays,Ville_Proche,Region
-0.272622,100.3600895,Indonesia,Bukittinggi,South Asia
-0.2768407,110.1047823,Indonesia,Pontianak,South Asia
-0.318807,100.4486543,Indonesia,Bukittinggi,South Asia
-0.4292527,100.3839898,Indonesia,Padangpanjang,South Asia
-0.4989624,117.2489929,Indonesia,Samarinda,South Asia
-0.5960364,114.5148647,Indonesia,Palangkaraya,South Asia
-0.7228737,119.9941336,Indonesia,Palu,South Asia
-0.7452067,-47.9175815,Brazil,Castanhal,South America
-0.9013406,122.9549168,Indonesia,Luwuk,South Asia
-0.9311621,-47.401149,Brazil,Salinópolis,South America
-0.9589046,-62.937968,Brazil,Barcelos,South America
-1.0614369,-60.4707,Brazil,Novo Airão,South America
-1.0984073,-48.0913639,Brazil,Castanhal,South America
-1.1257853,115.1089599,Indonesia,Palangkaraya,South Asia
-1.1322125,-46.6191948,Brazil,Bragança,South America
-1.1707262,100.6126871,Indonesia,Padang,South Asia
-1.2615616,-48.4551807,Brazil,Belém,South America
-1.2642076,103.1475314,Indonesia,Jambi,South Asia
-1.2897053,100.5307343,Indonesia,Padang,South Asia
-1.4734321,101.0374712,Indonesia,Sungai Penuh,South Asia
-1.5490342,101.9872824,Indonesia,Sungai Penuh,South Asia
-1.5515089,103.8697387,Indonesia,Jambi,South Asia
-1.5602171,113.9219409,Indonesia,Palangkaraya,South Asia
-1.5681883,102.7565673,Indonesia,Jambi,South Asia
-1.5927809,123.5034467,Indonesia,Luwuk,South Asia
-1.5949238,110.8393193,Indonesia,Pontianak,South Asia
-1.6426695,121.9443798,Indonesia,Luwuk,South Asia
-1.6457167,-48.2466237,Brazil,Belém,South America
-1.6613098,-47.9454678,Brazil,Castanhal,South America
-1.730202,103.6109153,Indonesia,Jambi,South Asia
-1.7315769,105.8594003,Indonesia,Pangkalpinang,South Asia
-1.7364443,119.3618511,Indonesia,Palu,South Asia
-1.8279381,105.8441823,Indonesia,Pangkalpinang,South Asia
-1.8926783,106.0646131,Indonesia,Pangkalpinang,South Asia
-1.938438,105.1863932,Indonesia,Pangkalpinang,South Asia
-1.9821807,105.2716854,Indonesia,Pangkalpinang,South Asia
-10.0274752,-37.5615131,Brazil,Arapiraca,South America
-10.0544665,-55.5608533,Brazil,Alta Floresta,South America
-10.0700455,124.3421104,Indonesia,Kupang,South Asia
-10.0962737,-67.4284159,Brazil,Rio Branco,South America
-10.143092,-67.7314367,Brazil,Rio Branco,South America
-10.1617505,-36.5544661,Brazil,Penedo,South America
-10.1829039,-48.1746103,Brazil,Palmas,South America
-10.223166,-44.6351465,Brazil,Barreiras,South America
-10.2556344,-49.0479469,Brazil,Palmas,South America
-10.3619508,-48.664914,Brazil,Palmas,South America
-10.421672,-48.9188361,Brazil,Porto Nacional,South America
-10.4256719,-48.8981835,Brazil,Porto Nacional,South America
-10.4407321,-39.3340462,Brazil,Tucano,South America
-10.4427353,-49.1801728,Brazil,Porto Nacional,South America
-10.4609267,-58.5842391,Brazil,Aripuanã,South America
-10.4654376,-40.9697372,Brazil,Senhor do Bonfim,South America
-10.4752773,-49.605392,Brazil,Porto Nacional,South America
-10.5164622,-65.3279004,Brazil,Guajará-Mirim,South America
-10.5548959,-37.6293651,Brazil,Aracaju,South America
-10.5563988,-49.4264257,Brazil,Porto Nacional,South America
-10.6008987,-36.9752611,Brazil,Aracaju,South America
-10.6344709,-47.6157267,Brazil,Palmas,South America
-10.6845077,-68.2228071,Brazil,Cobija,South America
-10.7165726,-38.1732299,Brazil,Tucano,South America
-10.7438624,-37.0782197,Brazil,Aracaju,South America
-10.7448602,-45.160858,Brazil,Barreiras,South America
-10.7652357,-39.2108622,Brazil,Tucano,South America
-10.7672186,-48.3795579,Brazil,Porto Nacional,South America
-10.8143465,-55.2298991,Brazil,Colíder,South America
-10.8189302,-42.7131142,Brazil,Xique-Xique,South America
-10.8357955,-37.2695383,Brazil,Aracaju,South America
-10.9153988,-62.5604095,Brazil,Ji-Paraná,South America
-10.9188238,-68.492568,Brazil,Cobija,South America
-10.9193925,-51.6288269,Brazil,Gurupi,South America
-11.030052,-48.690535,Brazil,Porto Nacional,South America
-11.0851082,-51.7049726,Brazil,Gurupi,South America
-11.0861857,-48.0973989,Brazil,Porto Nacional,South America
-11.1670214,-48.556139,Brazil,Porto Nacional,South America
-11.4282986,-61.4328412,Brazil,Pimenta Bueno,South America
-11.5727969,-41.1815937,Brazil,Irecê,South America
-11.6307757,-50.8047077,Brazil,Gurupi,South America
-11.6968985,-54.4754076,Brazil,Sinop,South America
-11.7265071,-61.4748667,Brazil,Pimenta Bueno,South America
-11.7537602,-40.7158282,Brazil,Itaberaba,South America
-11.7724503,-37.8077155,Brazil,Estância,South America
-11.7856432,-37.6174611,Brazil,Estância,South America
-11.8176438,-46.6251118,Brazil,Barreiras,South America
-11.8713158,-48.8676596,Brazil,Gurupi,South America
-11.8848833,-55.4962825,Brazil,Sinop,South America
-11.916498,-42.6806711,Brazil,Irecê,South America
-11.9736799,-59.4237344,Brazil,Vilhena,South America
-12.1642972,-51.6984442,Brazil,Alvorada,South America
-12.1976557,-46.9842878,Brazil,Barreiras,South America
-12.2323757,-55.106695,Brazil,Sinop,South America
-12.4243788,130.8426569,Australia,Darwin,Oceania
-12.4666636,-40.5610983,Brazil,Itaberaba,South America
-12.4744761,-41.0457965,Brazil,Itaberaba,South America
-12.549087,-39.5293528,Brazil,Feira de Santana,South America
-12.6722492,-42.2105786,Brazil,Bom Jesus da Lapa,South America
-12.7228963,-41.2680723,Brazil,Itaberaba,South America
-12.7801262,-60.3370942,Brazil,Vilhena,South America
-12.7917565,-47.0540368,Brazil,Alvorada,South America
-12.8028426,-55.8324507,Brazil,Sinop,South America
-12.8408964,-54.2233764,Brazil,Sinop,South America
-12.8867533,-38.3607893,Brazil,Salvador,South America
-12.9427591,-38.4777059,Brazil,Salvador,South America
-12.9730432,-39.2634429,Brazil,Valença,South America
-12.9795558,-39.2852404,Brazil,Valença,South America
-13.1126239,-38.9067763,Brazil,Valença,South America
-13.1579244,131.1059929,Australia,Adelaide River,Oceania
-13.3701529,142.8799907,Australia,Weipa,Oceania
-13.5398383,-47.4916841,Brazil,Niquelândia,South America
-13.6097176,-39.1032097,Brazil,Valença,South America
-13.6248831,-49.2258526,Brazil,Niquelândia,South America
-13.6432007,-40.4373372,Brazil,Jequié,South America
-13.6651849,-57.8780084,Brazil,Barra do Bugres,South America
-13.6714368,132.0094306,Australia,Pine Creek,Oceania
-13.8166056,-56.0770031,Brazil,Barra do Bugres,South America
-13.8443546,-52.0466848,Brazil,Barra do Garças,South America
-14.1385808,-39.7350956,Brazil,Ubaitaba,South America
-14.1473188,-39.3301753,Brazil,Ubaitaba,South America
-14.2890202,-43.6386102,Brazil,Guanambi,South America
-14.504978,-43.0313055,Brazil,Guanambi,South America
-14.5461945,-42.0600185,Brazil,Brumado,South America
-14.6347378,-39.5582933,Brazil,Itabuna,South America
-14.7321173,132.037342,Australia,Katherine,Oceania
-14.8686594,-47.4344536,Brazil,Formosa,South America
-14.872537,-55.791153,Brazil,Cuiabá,South America
-14.9145163,-46.958372,Brazil,Formosa,South America
-14.9604446,-39.3086435,Brazil,Itabuna,South America
-14.9745845,-49.0816316,Brazil,Goianésia,South America
-14.9978254,-54.7663573,Brazil,Cuiabá,South America
-15.0089118,-40.785671,Brazil,Vitória da Conquista,South America
-15.0667291,-57.173129,Brazil,Barra do Bugres,South America
-15.0989459,143.753861,Australia,Port Douglas,Oceania
-15.1539362,-48.3294844,Brazil,Niquelândia,South America
-15.1924372,-47.6689088,Brazil,Formosa,South America
-15.2017281,-56.3616232,Brazil,Cuiabá,South America
-15.224906,-46.4179947,Brazil,Formosa,South America
-15.2401957,-55.5467892,Brazil,Cuiabá,South America
-15.2637726,-40.961764,Brazil,Itambé,South America
-15.3271043,-49.1082874,Brazil,Goianésia,South America
-15.3438433,-56.1849771,Brazil,Cuiabá,South America
-15.4530406,-44.3363259,Brazil,Januária,South America
-15.4546372,-48.8860547,Brazil,Goianésia,South America
-15.4733878,-55.7274976,Brazil,Cuiabá,South America
-15.4742396,-56.3036308,Brazil,Cuiabá,South America
-15.5039288,-40.8298927,Brazil,Itambé,South America
-15.528651,-47.6876625,Brazil,Brasília,South America
-15.5534579,-41.2610449,Brazil,Itambé,South America
-15.5550403,-47.156369,Brazil,Formosa,South America
-15.5829422,-55.099503,Brazil,Cuiabá,South America
-15.5927205,-47.8743303,Brazil,Brasília,South America
-15.6669399,-48.120077,Brazil,Brasília,South America
-15.6747843,-56.3356745,Brazil,Várzea Grande,South America
-15.6810402,-39.7248612,Brazil,Itapetinga,South America
-15.7572066,-41.9174169,Brazil,Araçuaí,South America
-15.7637004,-56.3448915,Brazil,Várzea Grande,South America
-15.837099,-41.4033203,Brazil,Almenara,South America
-15.8468232,-48.7633863,Brazil,Anápolis,South America
-15.850488,-39.3930512,Brazil,Canavieiras,South America
-15.8516005,-56.0800177,Brazil,Várzea Grande,South America
-15.8550749,-48.6013752,Brazil,Anápolis,South America
-15.8584979,-38.8816386,Brazil,Canavieiras,South America
-15.8626269,-48.1685317,Brazil,Brasília,South America
-15.9256852,-49.2694035,Brazil,Inhumas,South America
-15.9425713,-57.7850631,Brazil,Cáceres,South America
-15.9949092,-56.4755029,Brazil,Várzea Grande,South America
-15.9973985,142.4800908,Australia,Karumba,Oceania
-16.0565749,129.1687881,Australia,Kununurra,Oceania
-16.0589562,129.0906325,Australia,Kununurra,Oceania
-16.066532,-45.8807865,Brazil,Paracatu,South America
-16.1024429,-49.0302846,Brazil,Anápolis,South America
-16.1237263,-48.1817906,Brazil,Brasília,South America
-16.1285203,-43.9215961,Brazil,Montes Claros,South America
-16.2298043,-41.4786125,Brazil,Almenara,South America
-16.2702085,-49.5458255,Brazil,Inhumas,South America
-16.3745751,-40.5435982,Brazil,Almenara,South America
-16.3764513,-52.4514749,Brazil,Barra do Garças,South America
-16.4283595,-54.6873853,Brazil,Rondonópolis,South America
-16.4443791,136.062368,Australia,Burketown,Oceania
-16.4677951,-54.516212,Brazil,Rondonópolis,South America
-16.4714887,-54.4835969,Brazil,Rondonópolis,South America
-16.5420459,143.8374815,Australia,Port Douglas,Oceania
-16.5681294,-42.8929484,Brazil,Araçuaí,South America
-16.5807169,-52.0209611,Brazil,Barra do Garças,South America
-16.5989812,145.3425877,Australia,Port Douglas,Oceania
-16.6012298,-39.2971435,Brazil,Pôrto Seguro,South America
-16.6264833,134.8523821,Australia,Katherine,Oceania
-16.6473883,-49.5036249,Brazil,Trindade,South America
-16.7097396,135.3536493,Australia,Katherine,Oceania
-16.7157557,-47.6637616,Brazil,Cristalina,South America
-16.7434566,135.7285921,Australia,Burketown,Oceania
-16.7446071,-48.5111875,Brazil,Pires do Rio,South America
-16.8120161,145.697684,Australia,Cairns,Oceania
-16.8565255,141.9704306,Australia,Karumba,Oceania
-16.8608738,-43.7171236,Brazil,Montes Claros,South America
-16.8776488,-49.2611982,Brazil,Goiânia,South America
-16.9098326,-51.0523146,Brazil,Iporá,South America
-16.9172638,145.7750398,Australia,Cairns,Oceania
-16.9264841,145.6938305,Australia,Cairns,Oceania
-16.9541103,-53.5250688,Brazil,Mineiros,South America
-16.9772175,145.7379675,Australia,Cairns,Oceania
-17.0147688,-44.0616024,Brazil,Bocaiúva,South America
-17.0389934,-47.9460918,Brazil,Pires do Rio,South America
-17.0498508,-51.1065424,Brazil,Iporá,South America
-17.0527577,128.197261,Australia,Halls Creek,Oceania
-17.0755986,-43.3308689,Brazil,Bocaiúva,South America
-17.1025429,145.1061241,Australia,Atherton,Oceania
-17.1049495,-49.2176536,Brazil,Goiânia,South America
-17.1099066,-39.1827366,Brazil,Itamaraju,South America
-17.1221457,145.6963062,Australia,Cairns,Oceania
-17.1330602,128.1738533,Australia,Halls Creek,Oceania
-17.1528992,125.4679053,Australia,Halls Creek,Oceania
-17.1917956,-39.9812074,Brazil,Itamaraju,South America
-17.1928635,-44.8167636,Brazil,Pirapora,South America
-17.1960356,-51.9379058,Brazil,Jataí,South America
-17.2029292,-50.0908758,Brazil,Trindade,South America
-17.2080817,-50.1278872,Brazil,Trindade,South America
-17.222718,145.4726511,Australia,Atherton,Oceania
-17.2364178,145.649785,Australia,Atherton,Oceania
-17.2604439,145.4937612,Australia,Atherton,Oceania
-17.2809909,-49.3970245,Brazil,Morrinhos,South America
-17.2947336,-47.7571156,Brazil,Pires do Rio,South America
-17.3061024,-53.2204605,Brazil,Mineiros,South America
-17.3597453,-42.993436,Brazil,Bocaiúva,South America
-17.390842,145.9096945,Australia,Innisfail,Oceania
-17.4371412,-50.4278342,Brazil,Rio Verde,South America
-17.5265697,-50.1936587,Brazil,Rio Verde,South America
-17.5285096,-50.192374,Brazil,Rio Verde,South America
-17.5928841,145.7354908,Australia,Innisfail,Oceania
-17.6651854,-52.2300332,Brazil,Mineiros,South America
-17.6691945,-39.2257856,Brazil,Nova Viçosa,South America
-17.6863948,-52.0194282,Brazil,Jataí,South America
-17.6885108,-40.1089298,Brazil,Nanuque,South America
-17.6886135,-52.9511585,Brazil,Mineiros,South America
-17.7271205,-48.6279221,Brazil,Morrinhos,South America
-17.7448203,-39.5759216,Brazil,Nova Viçosa,South America
-17.7873174,-51.0298375,Brazil,Rio Verde,South America
-17.7918737,-49.5726259,Brazil,Morrinhos,South America
-17.8192202,-49.5077956,Brazil,Morrinhos,South America
-17.8232582,122.6016175,Australia,Broome,Oceania
-17.8313511,-40.3534774,Brazil,Nanuque,South America
-17.8763937,-51.9020587,Brazil,Jataí,South America
-17.8848761,-47.0555216,Brazil,Paracatu,South America
-17.9053187,-54.6918418,Brazil,Rondonópolis,South America
-17.9708723,145.7775222,Australia,Innisfail,Oceania
-17.9709054,-50.6780272,Brazil,Rio Verde,South America
-17.9842254,-54.2288612,Brazil,Rondonópolis,South America
-17.9956352,-45.8399609,Brazil,Pirapora,South America
-18.0002244,-49.6267063,Brazil,Itumbiara,South America
-18.0065853,-43.3847697,Brazil,Diamantina,South America
-18.015992,-54.4518188,Brazil,Rondonópolis,South America
-18.09343,144.41197,Australia,Georgetown,Oceania
-18.1076848,140.3636443,Australia,Karumba,Oceania
-18.1201438,-46.8250619,Brazil,Paracatu,South America
-18.1232877,-44.2847964,Brazil,Curvelo,South America
-18.1736724,-49.7577828,Brazil,Itumbiara,South America
-18.208333,-49.7547993,Brazil,Itumbiara,South America
-18.2381392,-47.8374356,Brazil,Catalão,South America
-18.2571048,-42.8151061,Brazil,Guanhães,South America
-18.28816,143.57426,Australia,Georgetown,Oceania
-18.2900433,-44.2186979,Brazil,Curvelo,South America
-18.3734221,-44.5226939,Brazil,Curvelo,South America
-18.3820679,-46.8889161,Brazil,Catalão,South America
-18.3959145,-47.180872,Brazil,Catalão,South America
-18.4328667,127.4397329,Australia,Halls Creek,Oceania
