Latitude,Longitude,Pays,Ville_Proche
-0.0739082,36.5987259,Kenya,Ol Kalou
-0.1579605,39.570981,Kenya,Garissa
-0.1728069,29.9512163,Uganda,Katwe
-0.272622,100.3600895,Indonesia,Bukittinggi
-0.2768407,110.1047823,Indonesia,Pontianak
-0.318807,100.4486543,Indonesia,Bukittinggi
-0.3655796,36.9171089,Kenya,Nyeri
-0.4292527,100.3839898,Indonesia,Padangpanjang
-0.4989624,117.2489929,Indonesia,Samarinda
-0.5960364,114.5148647,Indonesia,Palangkaraya
-0.7228737,119.9941336,Indonesia,Palu
-0.7452067,-47.9175815,Brazil,Castanhal
-0.7455553,35.0024481,Kenya,Sotik
-0.7610578,35.0820393,Kenya,Sotik
-0.7849025,36.2531501,Kenya,Naivasha
-0.7955444,36.9304079,Kenya,Murang’a
-0.9013406,122.9549168,Indonesia,Luwuk
-0.9311621,-47.401149,Brazil,Salinópolis
-0.9589046,-62.937968,Brazil,Barcelos
-1.0614369,-60.4707,Brazil,Novo Airão
-1.0984073,-48.0913639,Brazil,Castanhal
-1.1046044,34.4698036,Kenya,Migori
-1.1257853,115.1089599,Indonesia,Palangkaraya
-1.1322125,-46.6191948,Brazil,Bragança
-1.1707262,100.6126871,Indonesia,Padang
-1.1711291,38.1562364,Kenya,Kitui
-1.2436266,-79.7763714,Ecuador,Babahoyo
-1.2615616,-48.4551807,Brazil,Belém
-1.2642076,103.1475314,Indonesia,Jambi
-1.2897053,100.5307343,Indonesia,Padang
-1.4734321,101.0374712,Indonesia,Sungai Penuh
-1.5250303,36.8940312,Kenya,Nairobi
-1.5490342,101.9872824,Indonesia,Sungai Penuh
-1.5515089,103.8697387,Indonesia,Jambi
-1.5602171,113.9219409,Indonesia,Palangkaraya
-1.5681883,102.7565673,Indonesia,Jambi
-1.5684471,34.9139453,Tanzania,Migori
-1.5927809,123.5034467,Indonesia,Luwuk
-1.5949238,110.8393193,Indonesia,Pontianak
-1.6426695,121.9443798,Indonesia,Luwuk
-1.6457167,-48.2466237,Brazil,Belém
-1.6613098,-47.9454678,Brazil,Castanhal
-1.730202,103.6109153,Indonesia,Jambi
-1.7315769,105.8594003,Indonesia,Pangkalpinang
-1.7364443,119.3618511,Indonesia,Palu
-1.7904787,-79.6665527,Ecuador,Babahoyo
-1.8279381,105.8441823,Indonesia,Pangkalpinang
-1.8550617,36.3164824,Kenya,Kajiado
-1.8926783,106.0646131,Indonesia,Pangkalpinang
-1.938438,105.1863932,Indonesia,Pangkalpinang
-1.9459205,30.091297,Rwanda,Kigali
-1.9821807,105.2716854,Indonesia,Pangkalpinang
-10.0274752,-37.5615131,Brazil,Arapiraca
-10.0544665,-55.5608533,Brazil,Alta Floresta
-10.0700455,124.3421104,Indonesia,Kupang
-10.0962737,-67.4284159,Brazil,Rio Branco
-10.143092,-67.7314367,Brazil,Rio Branco
-10.1617505,-36.5544661,Brazil,Penedo
-10.1829039,-48.1746103,Brazil,Palmas
-10.223166,-44.6351465,Brazil,Barreiras
-10.2556344,-49.0479469,Brazil,Palmas
-10.3619508,-48.664914,Brazil,Palmas
-10.421672,-48.9188361,Brazil,Porto Nacional
-10.4256719,-48.8981835,Brazil,Porto Nacional
-10.4407321,-39.3340462,Brazil,Tucano
-10.4427353,-49.1801728,Brazil,Porto Nacional
-10.4609267,-58.5842391,Brazil,Aripuanã
-10.4654376,-40.9697372,Brazil,Senhor do Bonfim
-10.4752773,-49.605392,Brazil,Porto Nacional
-10.4752909,105.6796319,Indian Ocean Ter.,Sukabumi
-10.5106509,105.6738237,Indian Ocean Ter.,Sukabumi
-10.5140133,-75.072796,Peru,San Ramón
-10.5164622,-65.3279004,Brazil,Guajará-Mirim
-10.5548959,-37.6293651,Brazil,Aracaju
-10.5563988,-49.4264257,Brazil,Porto Nacional
-10.5747005,-75.4070056,Peru,San Ramón
-10.6008987,-36.9752611,Brazil,Aracaju
-10.6344709,-47.6157267,Brazil,Palmas
-10.6845077,-68.2228071,Brazil,Cobija
-10.7165726,-38.1732299,Brazil,Tucano
-10.7438624,-37.0782197,Brazil,Aracaju
-10.7448602,-45.160858,Brazil,Barreiras
-10.7652357,-39.2108622,Brazil,Tucano
-10.7672186,-48.3795579,Brazil,Porto Nacional
-10.8143465,-55.2298991,Brazil,Colíder
-10.8189302,-42.7131142,Brazil,Xique-Xique
-10.8357955,-37.2695383,Brazil,Aracaju
-10.9153988,-62.5604095,Brazil,Ji-Paraná
-10.9188238,-68.492568,Brazil,Cobija
-10.9193925,-51.6288269,Brazil,Gurupi
-10.9525944,-75.2250912,Peru,San Ramón
-11.030052,-48.690535,Brazil,Porto Nacional
-11.0851082,-51.7049726,Brazil,Gurupi
-11.0861857,-48.0973989,Brazil,Porto Nacional
-11.1670214,-48.556139,Brazil,Porto Nacional
-11.4282986,-61.4328412,Brazil,Pimenta Bueno
-11.5727969,-41.1815937,Brazil,Irecê
-11.6307757,-50.8047077,Brazil,Gurupi
-11.6968985,-54.4754076,Brazil,Sinop
-11.7265071,-61.4748667,Brazil,Pimenta Bueno
-11.7537602,-40.7158282,Brazil,Itaberaba
-11.7724503,-37.8077155,Brazil,Estância
-11.7856432,-37.6174611,Brazil,Estância
-11.8176438,-46.6251118,Brazil,Barreiras
-11.8713158,-48.8676596,Brazil,Gurupi
-11.8848833,-55.4962825,Brazil,Sinop
-11.916498,-42.6806711,Brazil,Irecê
-11.9736799,-59.4237344,Brazil,Vilhena
-12.1642972,-51.6984442,Brazil,Alvorada
-12.1976557,-46.9842878,Brazil,Barreiras
-12.2323757,-55.106695,Brazil,Sinop
-12.4243788,130.8426569,Australia,Darwin
-12.4666636,-40.5610983,Brazil,Itaberaba
-12.4744761,-41.0457965,Brazil,Itaberaba
-12.5065815,-76.738071,Peru,Chilca
-12.549087,-39.5293528,Brazil,Feira de Santana
-12.5884151,-76.3336128,Peru,Chilca
-12.6722492,-42.2105786,Brazil,Bom Jesus da Lapa
-12.7228963,-41.2680723,Brazil,Itaberaba
-12.7801262,-60.3370942,Brazil,Vilhena
-12.7917565,-47.0540368,Brazil,Alvorada
-12.8028426,-55.8324507,Brazil,Sinop
-12.8408964,-54.2233764,Brazil,Sinop
-12.8867533,-38.3607893,Brazil,Salvador
-12.9427591,-38.4777059,Brazil,Salvador
-12.9730432,-39.2634429,Brazil,Valença
-12.9795558,-39.2852404,Brazil,Valença
-13.0661249,-75.0593478,Peru,Huancavelica
-13.0878432,-75.0576408,Peru,Huancavelica
-13.1126239,-38.9067763,Brazil,Valença
-13.1579244,131.1059929,Australia,Adelaide River
-13.2511487,-72.2819529,Peru,Urubamba
-13.3701529,142.8799907,Australia,Weipa
-13.4931219,-172.7781253,Samoa,Asau
-13.5398383,-47.4916841,Brazil,Niquelândia
-13.5918724,-70.9459063,Peru,Sicuani
-13.6097176,-39.1032097,Brazil,Valença
-13.6248831,-49.2258526,Brazil,Niquelândia
-13.6432007,-40.4373372,Brazil,Jequié
-13.6651849,-57.8780084,Brazil,Barra do Bugres
-13.6714368,132.0094306,Australia,Pine Creek
