LatitudeOrigine,LongitudeOrigine,LatitudeModel,LongitudeModel,DistanceModel,LatitudeRandom,LongitudeRandom,DistanceRandom,PaysOrigine,PaysModel,RegionOrigine,RegionModel,RegionClassifier
-0.318807,100.4486543,24.330725,-94.610794,16898.63499862214,30.47947411604412,154.4784843648822,6645.474893465927,Indonesia,Ocean,South Asia,Ocean,North America
-0.5960364,114.5148647,11.618629,108.251144,1518.0697014590207,6.421078577216093,75.88215487821736,4361.699897111671,Indonesia,Vietnam,South Asia,Ocean,South Asia
-0.7658456,-47.452212,34.36033,-87.8212,5728.663731743402,-52.35248245748958,147.59642078583687,13951.606955593112,Brazil,United States,South America,North America,North America
-0.9013406,122.9549168,10.020363,118.31159,1312.782936311619,-83.18850902139297,-65.89694891152767,10653.986289173885,Indonesia,Ocean,South Asia,Ocean,South Asia
-1.1993037,-46.1370957,-12.8453455,-50.526093,1375.9501463221618,83.33527022795994,-171.88394053521122,10568.353296658966,Brazil,Brazil,South America,South America,South America
-1.2642076,103.1475314,4.5444984,111.980835,1173.8218971369724,-51.03023944593559,150.77034250962367,7089.189598496826,Indonesia,Ocean,South Asia,Ocean,South Asia
-1.7218933,-48.8742001,45.98916,5.288732,7481.801485421552,-75.75559870206061,132.7439556444795,11401.61273292174,Brazil,France,South America,Europe West,Europe West
-1.8279381,105.8441823,35.328022,-99.44952,15475.10914013203,-46.093346552329336,-67.46677225968834,14655.069492445273,Indonesia,United States,South Asia,North America,North America
-10.183049,-36.8346604,45.598915,1.0499519,7247.37152283196,-30.75725715604901,114.41816445889634,14539.762253063984,Brazil,France,South America,Europe West,Europe West
-10.223166,-44.6351465,-9.446204,-39.183563,604.1396028595988,-52.14491048127465,97.33475348700836,12201.18206172746,Brazil,Brazil,South America,South America,South America
-10.2919412,-36.5845967,46.065475,1.3209492,7297.765871882169,63.3797178126494,-63.98068418060933,8496.85811207273,Brazil,France,South America,Europe West,Europe West
-10.4654376,-40.9697372,-13.586069,-48.60848,900.4583982785674,-71.49755920483838,-48.3954410220033,6797.88140216553,Brazil,Brazil,South America,South America,South America
-10.5090048,-37.0568283,-21.93211,-46.62253,1624.643162015848,-82.50030969939627,118.25515784941184,9602.283215748384,Brazil,Brazil,South America,South America,South America
-10.6344709,-47.6157267,28.385025,-102.04584,7272.736945928596,-80.29641762691156,-118.36066023622408,8485.9683134097,Brazil,Mexico,South America,North America,North America
-10.6845077,-68.2228071,-11.2516165,-45.60057,2472.7890526043107,-82.94188445356828,108.1503242518408,9607.156468616706,Brazil,Brazil,South America,South America,South America
-10.7276833,-37.8005721,32.780346,-103.63961,8475.632530295925,-81.94657679712944,90.85531774062088,9383.716596630502,Brazil,United States,South America,North America,North America
-10.7438624,-37.0782197,57.678627,34.22963,9926.908008255718,68.47206540223348,-56.552731045173815,8920.999436300439,Brazil,Russia,South America,Europe East,Europe East
-10.8380487,-38.5427671,26.320744,-100.6342,7870.230779749067,-22.5742845886164,10.026614836074032,5315.647620061626,Brazil,Mexico,South America,North America,North America
-11.0129256,-44.5170782,-10.283859,-47.54521,340.9927407924712,67.52819528030312,-63.735300995471135,8847.63203296056,Brazil,Brazil,South America,South America,South America
-11.0851082,-51.7049726,-12.096894,-54.721863,347.5430354826855,-30.52041488615552,159.5428727027225,14324.764116939015,Brazil,Brazil,South America,South America,South America
-11.0861857,-48.0973989,-14.121807,-47.022873,355.5338623475608,54.77157520606914,36.30255750592272,10649.447151472552,Brazil,Brazil,South America,South America,South America
-11.6968985,-54.4754076,39.636208,-102.89993,7571.093803966192,20.336509050967365,-122.15276374559772,8210.833691854003,Brazil,United States,South America,North America,North America
-11.7537602,-40.7158282,-13.9360695,-50.505787,1089.660931079562,30.57636918035226,8.375501785678466,7035.372923937264,Brazil,Brazil,South America,South America,South America
-11.8672262,-40.4707763,32.4755,-81.535774,6568.9196208420535,12.19312905349014,-166.67065190414797,14187.49095523287,Brazil,United States,South America,North America,North America
-11.8848833,-55.4962825,-9.669327,-46.59143,1004.175842528348,-87.07408242567914,-31.944567816561914,8388.344684308,Brazil,Brazil,South America,South America,South America
-11.9644095,-40.1635044,-14.506517,-48.04919,899.6361968327067,76.47059446807845,13.567751352282386,10413.310066717566,Brazil,Brazil,South America,South America,South America
-12.1642972,-51.6984442,-14.899983,-48.683083,445.1106562096213,59.966692291345765,-168.2317287734506,12632.38709839873,Brazil,Brazil,South America,South America,South America
-12.4744761,-41.0457965,32.86573,-109.09686,8788.275731653053,36.00224869574436,-109.75915798844976,8978.28778252213,Brazil,United States,South America,North America,North America
-12.6722492,-42.2105786,-9.367521,-48.124687,742.4179635578838,89.64503856653064,82.06645824274284,11425.728313546417,Brazil,Brazil,South America,South America,South America
-12.7801262,-60.3370942,-14.88546,-48.076283,1345.617164004968,65.10768678742346,73.7158727760166,13237.46451641421,Brazil,Brazil,South America,South America,South America
-12.8028426,-55.8324507,43.68025,-97.064476,7524.1439297673405,-89.37515009548652,90.48464028357296,8644.16834225152,Brazil,United States,South America,North America,North America
-12.8408964,-54.2233764,-12.49211,-44.221424,1087.106426724252,56.15635817031915,98.48078317765028,14660.496239960366,Brazil,Brazil,South America,South America,South America
