LatitudeOrigine,LongitudeOrigine,LatitudeModel,LongitudeModel,DistanceModel,LatitudeRandom,LongitudeRandom,DistanceRandom,PaysOrigine,PaysModel
-0.2768407,110.1047823,31.126322,-86.52937,16170.904485555136,73.37120819329004,-77.27954577518736,11873.555926138955,Indonesia,United States
-0.9589046,-62.937968,30.214317,25.924606,9958.25003755747,18.50402156713808,-70.74241290667231,2316.093681324848,Brazil,Egypt
-1.1322125,-46.6191948,10.098165,-39.75505,1456.2865821248624,-10.196579796045128,-104.45534789010875,6475.199783312754,Brazil,Ocean
-10.0700455,124.3421104,43.651268,44.556644,9966.487121496357,32.268588044136465,38.1741284486524,10248.464099995545,Indonesia,Russia
-10.183049,-36.8346604,-17.43237,-64.0208,3043.126627571464,2.9722030404557813,73.77875995272552,12334.08426250392,Brazil,Bolivia
-10.6008987,-36.9752611,51.775063,-20.088705,7099.078825532906,13.27965104766976,-115.05346845347428,9019.09135169511,Brazil,Ocean
-10.7276833,-37.8005721,-6.9864745,-50.861477,1494.7755549443364,5.33189797185149,-147.54267930581824,12282.649490677486,Brazil,Brazil
-11.7537602,-40.7158282,-22.78393,20.641754,6594.279901486263,26.7083567836997,146.46100403831144,18190.76077877553,Brazil,Botswana
-11.8132673,-39.3765193,-2.733137,-42.635906,1066.633929254343,1.0309443357498085,-55.93728090549038,2317.711585533002,Brazil,Brazil
-12.4151635,-41.772674,16.804708,-37.26841,3269.482674694796,75.03921854852416,152.18024404792118,12992.23469653432,Brazil,Ocean
-12.5065815,-76.738071,13.447268,-48.357254,4248.362320169633,15.682378490112711,-2.1633135173197786,8783.232052915142,Peru,Ocean
-13.5918724,-70.9459063,53.455986,9.369098,10580.768152204086,18.587416670186258,90.783282139898,18002.4652152868,Peru,Germany
-13.6714368,132.0094306,35.017128,-99.196976,14390.603595200757,-87.8335845229166,-159.12658466952985,8403.727028310117,Australia,United States
-13.8576898,-172.0611335,-20.425808,-49.784393,12661.46673988074,-33.94516937889962,-28.648613431734645,13455.853578938008,Samoa,Brazil
-14.2890202,-43.6386102,-24.734165,94.524574,13753.52875784535,37.68482945222905,18.80119484199301,8688.452739755698,Brazil,Ocean
-14.606967,-73.6115742,48.50008,12.263122,10912.380121790447,-8.31996079413716,21.73294092962541,10355.942196467746,Peru,Germany
-14.7837351,-39.0539844,27.950493,20.093988,7935.472198344608,83.5793402782372,171.0869716143701,12254.162442737435,Brazil,Libya
-15.0667291,-57.173129,16.362793,-27.541508,4763.312624491506,79.57393565591386,-155.36805088059165,11806.006268200665,Brazil,Ocean
-15.4733878,-55.7274976,-6.218358,-52.191246,1094.1759610875986,-60.511484524922224,-135.25124522832553,7948.058672832591,Brazil,Brazil
-15.5039288,-40.8298927,-6.6423345,-46.491776,1158.7554759082886,-35.033312535813664,92.03006385078776,12530.597337043038,Brazil,Brazil
-16.3764513,-52.4514749,18.92673,-19.849632,5290.849128726973,21.18837773233973,-47.57168869453525,4189.262985034395,Brazil,Ocean
-16.4714887,-54.4835969,-14.167718,-33.1455,2304.4955827633053,65.63459507905776,-146.80877967392732,11765.937725740596,Brazil,Ocean
-16.5807169,-52.0209611,-26.853258,-28.329481,2695.6958424798304,-61.79143261438175,-105.6869193456964,6524.871870609077,Brazil,Ocean
-16.7434566,135.7285921,-20.721252,143.3026,911.8239197464108,-86.92646765329778,-114.45782479016871,8268.835728468497,Australia,Australia
-16.8565255,141.9704306,-18.836067,127.83541,1513.7434476580231,-77.09319241908067,78.82017051372998,7531.992652900887,Australia,Australia
-16.9098326,-51.0523146,32.97391,-93.85529,7154.875377148138,53.40763111682216,-103.14396699789908,9241.39376184137,Brazil,United States
-16.922397,145.7801967,40.766922,13.4239435,14759.784547381518,-3.2077321975443454,80.84957873903426,7245.7606614511105,Australia,Italy
-17.0389934,-47.9460918,-13.241563,-51.134727,542.1774800995195,64.7757923048641,-58.06954914270092,9112.04001972492,Brazil,Brazil
-17.1528992,125.4679053,19.646193,-1.1581322,14409.514720929976,47.12743789727028,-174.62170139074593,9290.327574951509,Australia,Mali
-17.390842,145.9096945,50.598427,-98.28326,13301.061506938824,79.8718370659848,-36.41089848176111,13055.672634222394,Australia,Canada
-17.8192202,-49.5077956,-19.46784,65.54128,11818.970010295296,88.40798743216834,-163.13779105415298,12043.550139508428,Brazil,Ocean
-17.8232582,122.6016175,13.987731,-22.925207,16323.647215129688,9.941847671162918,-11.11044431387458,14968.515789014184,Australia,Ocean
-17.8848761,-47.0555216,-16.301552,-46.169804,198.97371618846552,-1.6614320688201758,-89.65687600891931,4987.5611557788725,Brazil,Brazil
-17.9053187,-54.6918418,-19.268812,-55.493324,173.01215950626997,-58.45244859994709,42.14414476240427,8717.4114943138,Brazil,Brazil
-18.0060021,-70.2439748,39.11648,9.8610325,10434.615101194531,58.20207453747804,17.43543442347587,11555.562078783336,Peru,Italy
-18.4328667,127.4397329,-19.83021,86.7511,4273.352415341355,79.35198721407463,45.96578967071679,11830.629988565535,Australia,Ocean
-18.4743978,-39.7625678,35.983192,-57.892532,6322.904471112832,9.50811860603855,-6.639341237475975,4776.507299119259,Brazil,Ocean
-18.5261599,136.0041194,-26.038292,143.79489,1155.4608204044407,41.08809701035568,-51.12408763431719,17413.66344384226,Australia,Australia
-18.6064523,-43.3811667,20.209932,-13.584591,5386.313783489053,44.871462479242496,92.23165808140186,14994.620561590393,Brazil,Mauritania
-18.6120874,-52.9678088,14.399428,-79.39245,4661.770039724624,87.07713508320106,138.02049759776548,12381.067233160058,Brazil,Ocean
-18.6271879,-51.605683,-20.879541,83.161125,13432.12723595627,-3.86086526649342,140.49421361294304,17191.94600751578,Brazil,Ocean
-18.6406818,-66.3401803,54.17859,42.40419,12885.168835421253,89.24275764888083,-12.842646568305184,12013.430013171284,Bolivia,Russia
-18.9432668,-46.9898558,-14.474116,-72.66443,2779.7082872645697,-33.914947783064825,-108.04697638195604,6221.827773491078,Brazil,Peru
-19.0163105,-40.5373477,-12.171816,-22.473024,2078.273786133531,-7.050039300213442,-38.5259105472077,1341.6646511904505,Brazil,Ocean
-19.1931072,-54.9285589,-17.910402,-62.13535,773.8893301274381,10.065230952548134,-55.1285206724193,3236.188067404315,Brazil,Bolivia
-19.2734375,-44.3990907,-9.697334,-41.218674,1113.50198126415,50.35254933768016,-15.560959187352353,8216.23587758435,Brazil,Brazil
-19.3172133,-48.0747342,-3.7006679,-47.40334,1729.1186403623929,16.32967151432051,151.70569940439157,17911.978778742297,Brazil,Brazil
-19.4001994,146.7077475,35.829388,-76.486626,15434.817856985168,-28.099720051559665,-37.50922007764191,14729.114832935007,Australia,United States
-19.4684185,-42.5490699,18.112276,109.856995,17123.93290451432,-37.31502618665262,-99.03301358745844,5786.09894491694,Brazil,China
-19.4896517,-44.3939645,2.0383022,-3.8640714,5028.7828194621225,-44.477893146538456,-131.871746807906,8322.070214180492,Brazil,Ocean
-19.5833499,138.7886548,-22.014235,136.71034,345.31013761123654,37.86821178829626,-87.96930296273362,15089.440902781836,Australia,Australia
-19.7676981,-43.8522495,13.65772,26.743088,8568.494654317952,-39.647500065683566,142.18966594516723,13397.18652919665,Brazil,Sudan
-2.7950128,-44.3735041,18.488745,38.042,9315.511920300702,-37.45948320477497,-31.02356038352224,4073.9120678159934,Brazil,Sudan
-2.8906763,-41.906287,-12.259088,-18.851604,2744.0330655609373,-63.2613055982686,-166.82077077116915,11374.412375347596,Brazil,Ocean
-20.0679947,-44.3046922,15.407336,-35.83839,4031.837144325695,-51.34350914810555,-41.95485529168593,3476.497658124037,Brazil,Ocean
-20.0911872,-44.8277597,-13.8648615,-52.442146,1063.717077078711,67.1079306564013,-148.6026125499189,12640.95115788517,Brazil,Brazil
-20.2114642,-69.8726459,46.928585,-44.17519,7870.46263969904,-11.752715566300369,-102.11978141054313,3569.299979592516,Chile,Ocean
-20.3418447,-41.5317598,2.4984994,94.50606,14868.09179468442,38.69647773907121,-168.1549958356119,14550.588763517677,Brazil,Ocean
-20.4465222,-44.2622004,-10.432697,-23.743645,2461.439855304041,34.65791448169074,-177.38132764639096,15184.136153604675,Brazil,Ocean
-20.4473914,-55.7901816,-4.589385,-44.3242,2149.299155123884,75.91968081604955,-58.66391870476724,10693.338961906966,Brazil,Brazil
-20.5266764,-43.6960369,16.885983,-39.99678,4158.0532657856165,-36.716199117086326,166.8951865857846,12905.145880645816,Brazil,Ocean
-20.5497414,-48.5862419,11.11869,-49.35173,3503.8244368912065,68.45685485310042,96.13616151763756,14156.262273817076,Brazil,Ocean
-20.6652209,-50.38651,3.830041,-54.99818,2755.950715343289,76.73942368153726,-85.10003556385061,11054.59866651723,Brazil,Suriname
-20.7810276,-49.7171212,32.76297,-33.501427,6171.434351871858,18.2772901304141,19.652337213500687,8711.691296466064,Brazil,Ocean
-20.9229248,-55.7817265,-14.035735,-48.28948,1101.4469423918902,59.79034010587762,170.5186622198582,14371.01504512173,Brazil,Brazil
-21.0981666,-45.089573,-5.020916,100.851135,15314.94232081842,-31.832330328967124,-38.91739578182336,1338.391039994925,Brazil,Ocean
-21.1877013,-46.9705247,6.312726,-11.103314,4960.089649364794,-57.74144715115302,-87.51274968853254,5210.491596774498,Brazil,Ocean
-21.191056,-48.9120253,23.116354,-5.7221594,6779.893259188761,-43.47865319781759,155.7582667756381,12415.1251798864,Brazil,Mali
-21.299908,-50.730388,-4.9842596,-56.8738,1923.1973776936504,40.281360190091874,-157.91031009784214,12941.507624416066,Brazil,Brazil
-21.4536252,-50.1634788,0.5297344,-51.921497,2439.379301403183,-26.40998779745628,94.73655127050938,13504.638991878775,Brazil,Brazil
-21.4764901,141.7156791,-15.360425,-134.34576,8790.727389572725,-61.38912099642212,-156.4009034777044,6442.928369428413,Australia,Ocean
-21.527135,-47.6428605,-9.698332,-62.45139,2055.032705157709,25.519353320585523,37.05191069076656,10517.991439535548,Brazil,Brazil
-21.7495804,-41.3188738,-0.31811538,-71.57603,4049.816382899814,-1.1121809761329473,3.3596827344165945,5351.824965862039,Brazil,Colombia
-21.7609314,-43.6014197,27.488432,15.097857,8340.66948012848,24.0272585902126,12.079881495300016,7872.512845632237,Brazil,Libya
-21.7990865,115.7442605,-27.63054,117.3432,665.8701420199458,-60.90932798611244,-1.063585624765409,9250.164634174054,Australia,Australia
-21.9560405,26.4919236,-9.317897,90.68842,6977.733294174471,-64.91353800246875,89.19994297835217,6536.410990939057,Botswana,Ocean
-22.0212036,-54.8854879,-7.3222647,-46.704235,1848.4285882904007,68.82770473740413,-71.1859338580198,10160.656579297136,Brazil,Brazil
-22.0662473,-41.6836365,44.687984,-18.02895,7773.295813689833,-53.869410031962175,141.16719031086348,11586.96861738877,Brazil,Ocean
-22.1026241,-53.4686244,-14.381222,-51.98072,868.97731623751,-46.53388976229068,-149.22172600435607,8679.450604691203,Brazil,Brazil
-22.4084658,-43.6737616,7.00625,96.37922,15423.352947802465,-15.570054765084535,-166.32122378147693,12494.615677725891,Brazil,Ocean
